Date,Close,Open,High,Low,Volume,Change
06-05-2021,14724.80,14668.35,14743.90,14611.50,445.28M,+0.73%
05-05-2021,14617.85,14604.15,14637.90,14506.60,437.26M,+0.84%
04-05-2021,14496.50,14687.25,14723.40,14461.50,479.66M,-0.94%
03-05-2021,14634.15,14481.05,14673.85,14416.25,443.41M,+0.02%
30-04-2021,14631.10,14747.35,14855.45,14601.70,594.74M,-1.77%
29-04-2021,14894.90,14979.00,15044.35,14814.45,511.47M,+0.20%
28-04-2021,14864.55,14710.50,14890.25,14694.95,453.99M,+1.44%
27-04-2021,14653.05,14493.80,14667.55,14484.85,442.21M,+1.16%
26-04-2021,14485.00,14449.45,14557.50,14421.30,448.53M,+1.00%
23-04-2021,14341.35,14326.35,14461.15,14273.30,476.61M,-0.45%
22-04-2021,14406.15,14219.15,14424.75,14151.40,516.99M,+0.77%
20-04-2021,14296.40,14526.70,14526.95,14207.30,456.70M,-0.44%
19-04-2021,14359.45,14306.60,14382.30,14191.40,503.14M,-1.77%
16-04-2021,14617.85,14599.60,14697.70,14559.00,568.57M,+0.25%
15-04-2021,14581.45,14522.40,14597.55,14353.20,556.85M,+0.53%
13-04-2021,14504.80,14364.90,14528.90,14274.90,588.67M,+1.36%
12-04-2021,14310.80,14644.65,14652.50,14248.70,638.48M,-3.53%
09-04-2021,14834.85,14882.65,14918.45,14785.65,498.35M,-0.26%
08-04-2021,14873.80,14875.65,14984.15,14821.10,503.73M,+0.37%
07-04-2021,14819.05,14716.45,14879.80,14649.85,476.38M,+0.92%
06-04-2021,14683.50,14737.00,14779.10,14573.90,474.21M,+0.31%
05-04-2021,14637.80,14837.70,14849.85,14459.50,500.48M,-1.54%
01-04-2021,14867.35,14798.40,14883.20,14692.45,430.03M,+1.20%
31-03-2021,14690.70,14811.85,14813.75,14670.25,436.87M,-1.04%
30-03-2021,14845.10,14628.50,14876.30,14617.60,594.52M,+2.33%
26-03-2021,14507.30,14506.30,14572.90,14414.25,481.00M,+1.27%
25-03-2021,14324.90,14570.90,14575.60,14264.40,606.82M,-1.54%
24-03-2021,14549.40,14712.45,14752.35,14535.00,456.40M,-1.79%
23-03-2021,14814.75,14768.55,14878.60,14707.00,474.15M,+0.53%
22-03-2021,14736.40,14736.30,14763.90,14597.85,459.00M,-0.05%
19-03-2021,14744.00,14471.15,14788.25,14350.10,919.18M,+1.28%
18-03-2021,14557.85,14855.50,14875.20,14478.60,542.22M,-1.11%
17-03-2021,14721.30,14946.55,14956.55,14696.05,479.35M,-1.27%
16-03-2021,14910.45,14996.10,15051.60,14890.65,437.65M,-0.13%
15-03-2021,14929.50,15048.40,15048.40,14745.85,467.47M,-0.67%
12-03-2021,15030.95,15321.15,15336.30,14953.60,493.24M,-0.95%
10-03-2021,15174.80,15202.15,15218.45,15100.85,404.59M,+0.51%
